"","book_title","review_title","review_user","book_id","review_id","timestamp","review_text","review_score"
"1","Directorate S: The C.I.A. and America's Secret...","gripping, informative, complete","Keith A. Comess","0143132504","RCXJRKN5RRD5Q","1554882185","Eight days it took me to read through this monster of a sequel to Ghost Wars.

It helps, of course, that the author is discussing history here. Ghost Wars was all about the tragic mistakes that led up to Al Qaeda’s “finest hour,” the simultaneous assassination of Ahmad Shah Massoud in Afghanistan and the felling of the twin towers in September of 2001.

Directorate S is about Afghani history since September 2001, told from the angle of the invading Americans. It’s 700 pages short.

That the book is named after Directorate S, the section within Pakistan’s secret services (the I.S.I.) that has secretly supported the Taliban since September 11, strongly hints toward the fact that Steve Coll ultimately has enormous sympathy for Hamid Karzai’s chief argument: America and its allies may well have felt they had no alternative to invading Afghanistan after nine-eleven, but they never stood a chance of defeating the Taliban, due to the Taliban’s ability to always withdraw and regroup in the Waziristan province of Pakistan.

He never says so outright, however. He tells the story as best he can. And it’s a thriller.

Steve Coll mixes history, biography, politics and individual memoirs to deliver a step-by-step account of the “with us or against us” dilemma that Musharraf had to answer pretty much same-day (his Secret Services’ inability and unwillingness to deliver it and the political impossibility for Pakistan to do so notwithstanding), the immediate success of the invading NATO forces in ousting the Taliban, the establishment of the Karzai government, its failure to govern, the Obama / McChrystal / Petraeus surge, whose fate may have been sealed by its built-in sell-by date, the fiasco that were the 2009 elections for everybody involved, the WWI-style horror of the warfare to regain Helmand for no particular end-goal, the surge of green-on-blue attacks, the failure of Holbrooke’s and Hillary’s effort to bring the Taliban to the table and the eventual breakdown of the relationship between the US and its primary interlocutor in the area, the I.S.I.’s Ashfaq Kayani, who emerges as the main character of this saga.

Coll never loses you. He has a five-page reference section at the front, listing the names of all the protagonists in the book. He builds them well enough for you to always know who he’s talking about. I only maybe looked at it five times as he took me through the three-dimensional chess involving the US, the Karzai government in Kabul, the Taliban leadership, the Pakistani military leadership and the Pakistani secret services, with walk-in roles for the Saudis, the Qataris, the Afghan secret service, the Pakistani political leadership, and never forgetting the soldiers, analysts and spies who fought the war in the trenches.

Part of the reason you stay with him is you get the full briefing regarding where everybody’s coming from and how everybody feels about it: crazy Karzai thinks both Pakistan and the US want to replace him, his buddy (and US envoy/ambassador) Khalilzad simply cannot convince him otherwise; Pakistan sees Indian influence everywhere and can only see the Afghan struggle in the context of the threat that India will engulf it from both sides; the US is split four ways between the bullish Pentagon, the disbelieving C.I.A., the can-do / must-do White house and the hyperactive State Department. The Taliban are always there and, in stark contrast with their double-dealing Pakistani supporters, totally unwilling to show two faces, or even one, for that matter.

Finally, the voice of the low-ranking participant is heard loud and clear, be it the US soldier writing back to his family, the misrepresented Panshjiri who is forced to bet on Kabul, or the Pashto-speaking peasant who must pick sides (let alone crops), all while observing the bumbling western invaders prioritizing their own safety over showing a morsel of respect for a country they purport to have saved, driving away from the scene of many an accident and occasionally using indiscriminate violence.

Lest I have not made it clear, however, and much as the book is told from the American angle, the main protagonists here are the Pakistani army and the Pakistani secret services. It is in their back yard that the fight is taking place. Their support for the Taliban comes from the fact that they will need them there in Afghanistan after the Americans leave. This support is very costly, because it acts as an incubator for terrorism and violence that is primarily directed toward Pakistan itself, if perhaps more successfully toward secular Pakistan than toward people in uniform. Ultimately, however, they run a corrupt and leaky enough set of institutions that their request to be in the middle of every negotiation cannot be taken seriously, the proof being that the Americans go ahead and kill Osama bin Laden in total secrecy. If that was the straw that broke the camel’s back or merely a symptom of a broken relationship is not really a topic that makes the final cut for these 700 very dense pages.

The summary of those fifteen years is given on page 664 and I don’t think one can give it any better than the author himself: “…even without Iraq or Guantanamo the United States would have struggled to achieve many of its goals in Afghanistan. Primarily this was because two administrations led by presidents of different political parties could not resolve essential questions about the conflict. Did they truly believe that Afghanistan’s independence and stability was more important than Pakistan’s stability? Why did they accept I.S.I.’s support for the Taliban even when it directly undermined American interests and American lives? If they were to try to stop I.S.I.’s cover action, what risks were they prepared to take? Inside Afghanistan, which was more important: to work with unsavory but sometimes effective warlords and militias against Al Qaeda and the Taliban, or to promote decent government, even if the attempt to do so created instability? How important was drug enforcement, if the anti-drug campaign risked alienating farmers and laborers in Taliban country? The Taliban might be abhorrent, but did the movement pose a direct threat to the United States? If the Afghan war could be settled only by peace talks that included as much of the Taliban as possible, as many at the highest levels of the Obama administration came to believe after 2010, why was this daunting project left to a secret cell of negotiators and not made a higher, more explicit priority of the United States, as were the comparably risky negotiations with Iran and Cuba undertaken during Obama’s second term?

And that’s Steve Coll’s long epitaph for a struggle America was forced into without having even worked out its own motivations, let alone the potential consequences.

It’s dynamite.",5
"2","Cemetery Road: A Novel","Sometimes the price of justice is a good man’s soul.","ZOMGPWN<U+2757>","0062824619","RB15ZUZQATDX5","1554882246","Before I read The Quiet Game by Iles I had never even heard of him. After I saw the reviews of the Penn Cage series and saw the themes and content, it looked like a no-brainer for me. I'm so happy that I read that entire series. However, after finishing it, the bar was set pretty darn high for me, as far as what I expect from this guy's imagination. I'm happy to say that Cemetery Road met that expectation. I'm not sure what specific sub-genre Iles inhabits but I think of it as ""Post-Southern Gothic Literary Murder Mystery Thriller."" I think that covers all the bases.Cemetery Road is par for the course for Greg Iles but Iles' typical course is a cut above the usual for this type of literature. The themes here are all familiar, but harrowing and emotional. Loss, betrayal, redemption, doing what's right for others vs. doing what's right for oneself... not to mention murder most foul and a grand cabal weaving an evil conspiracy that envelops an entire town in its corrupting influence. Protagonist Marshall McEwan is the prodigal son returned home to take care of his ailing father and the family's sputtering yet once legendary newspaper. When McEwan's most revered mentor turns up floating in the Mississippi with a skull fracture, the intrigue begins and the tension continues to build until the frantic climax.The characters here are mostly complex and all have parts of their nature that are unlikeable and/or not very nice. That's part of what Iles is exploring with this book. Not just the nature of good vs. evil but how we can oversimplify those definitions and sometimes confuse doing what's virtuous with doing what's right. When push comes to shove, sometimes people have to make hard choices and even do things that hurt some people to save others.Yes, there is some mention of current politics and/or media coverage of politics in this book, but to me, it wasn't obnoxious or overwhelming. The characters have opinions and for me, that's just fine. It doesn't get in the way of the story at all and in fact, informs the thoughts and actions of certain characters, providing motivation and or reasoning for their actions. Cemetery Road is not a political screed or diatribe... not by a long shot. Iles is merely placing the story and the characters in the current real-world setting.The plot is tightly wound and the action builds nicely. There was no huge ""twist"" or gut punch for me in the plot... I pretty much saw most of it coming but I still really enjoyed every minute of it. I just like the way Iles writes and how he tells a story. He is great at writing exciting dialogue and moving a story along with a satisfying pace. Perhaps growing up in a town of a similar size and temperament as Bienville makes this book more enjoyable for me, but I think anyone can enjoy the setting. Another great read from Greg Iles. I hope we get more books in this setting since there were still many areas to explore with Marshall, the Mathesons and the whole town.",5
"3","A Gentleman in Moscow: A Novel","Just Get Through The First Half","happymom","0143110438","R25VHMDTB00B0F","1554882257","I love, love, love this book! While the main character is charming and I enjoyed following him, the first half is slow. It needs to be to build up everything you need for the second half. However, once the book kicks in it is well worth the read.",5
"6","Whose Toes Are Those?","Love it.","Chawk","031645432X","R3TIYBPRAP6APG","1554882655","Again, we love books by this author!",5
"7","A Gentleman in Moscow: A Novel","A Gentleman in Moscow","D.P. McHenry","0143110438","R2647ASV1KNN78","1554882687","Bought for my book club. Love it. Lots of Russian history. Takes a serious subject and treats it with good humor. Many good chuckles.",5
"8","Milkman: A Novel","A great read, or listen","Sheela","1644450003","R2PWQ9YFBX79HF","1554882744","This novel is slow to grab the reader, so give it a few chapters before you judge. The writing is finely honed, with an undercurrent of sardonic humor that makes the harsher aspects of the story (and life in Northern Ireland in the 1970s) all the more shocking. I highly recommend listening to the audiobook version. The Irish-accented narrator/reader is top notch.",5
"10","Pet Sematary: A Novel","A movie lovers opinion","William James","198211598X","R846QFWU8VCJR","1554882949","Okay, granted, I've always heard the book is better than the movie, but I never truly wanted to believe.  I have owned Kubrick's classic since its arrival, and it has always been one of my favorites.Well, forget the movie, because this book is absolutely unbelievable.  From the very beginning, maybe from anticipation, but most likely from the way Mr. King keeps you on the edge of your seat, bed, hell...on your feet...this book is frightening.Because of the masterful storytelling and descriptive power, I found myself, after the first night, not wanting to pick this book back up, out of sheer terror.  When I finally talked myself into it, I could not put it down.  Amazing how quiet, yet truly alive, your own home feels, late at night, when there is nothing but your thoughts, awakened by this masterpiece.Truly unbelievable is the way so very many character's, from Jack, Wendy, Danny and TONY, to Halloran, Lloyd (who could forget good old Lloyd) and the undeniable Grady, are intertwined in a way the movie only begins to uncover.If you like a good scare, one that wears on you from beginning to end, and truly appreciate the art of imagination, you must give this book a read.  Once you do, you will need to watch the movie, again, just to calm yourself down.",5
"11","Cemetery Road: A Novel","""All Roads Lead Home"" -- But Home Is ""Cemetery Road"".","Scott E. High","0062824619","RUANHLXH9D3SL","1554882966","It's worth giving Greg Iles a pass on his politics to read this finely crafted novel.  After all, 50% of our population lies on either side of the line drawn in the sand.  The fact that I'm a conservative shouldn't require me to bash a liberal's work.""Cemetery Road"" is a well plotted multi-generational tale of small town corruption extending back to the Civil War.  Mr. Iles takes you on a fast-paced yet intricate ride through the politics and hidden agendas of Beinville, Mississippi, a small town that has somehow managed to hold its own while most other river towns have given up the ghost.  The ironic title of this novel works well here, covering the bases of each plot thread as it unravels -- from private family deceptions to those bringing collateral damage for everyone in the town.This timely premise involves a Chinese company finding a home for their new billion dollar factory in Bienville.  The large investment in this small town will bring prosperity to a lot of the local population as well as improving highway access that will also expand the local community.  But the biggest beneficiaries of all will be members of the Bienville Poker Club, a group of corrupt businessmen who ancestors have controlled Bienville since The Reconstruction(1865-1877).However there is a dangerous complication, something that would cause all of their investments to collapse on them.  The site of the new factory has been partially excavated by an amateur archeologist who believes that the site was the home of a native culture occupying it 4,000 years ago.  Pursuing protection for this historical site will cause all of the Poker Club's complicated manipulations to go up in smoke -- and the local population to lose all of the benefits and amenities they are counting on.As always, Greg Iles delivers a well researched and fast moving novel with stark narrative and intricate personal relationships.  Not all is what it seems to be but suffice it to say that not every player trusts even his/her closest associates/relatives.  It appears to be ""all for one and one for all"", until suddenly it doesn't.  More complicated then his previous works, the issues here range from interpersonal relationships to international issues.  Well worth your time!",5
"12","The Woman in the Window: A Novel","What a Page Turner!","Steven L. Roddy","62678426","R28UMZ0I9JR3SQ","1554883177","This is one of those books that you read in a day. You just can’t put it down. Told in the first person, by an agoraphobic woman. You will enjoy this one!",5
"13","A Gentleman in Moscow: A Novel","A Great Book for Our Time or Any Time","George","0143110438","R2J4BQ8RYSLKU3","1554883277","I read and loved Towles first book, ""Rules of Civility, so I looked forward to this latest read. Like many, or most of its readers, I was charmed by Count Rostov, myheart was warmed by the ensemble of characters, and so greatly impressed mastery of story telling.AsI fell in love with Manhattan again in the 1930s in Rules of Civility, I found myself learning and understanding the Russian personality, with all of its historic foibles, and the heroics of the brutal changes it endured....all because it was seen through the eyes of a gentleman I would not only want to know, but at the age of 69, hope to be.Like Ian MacEwen at his best Towles provides the complete picture of the times, with the only prejudice, his great capacity for human accomplishment and understanding.Best of all it was a fun romp, enhanced by Towles empathy towards his reader, so rare in great authors who set themselves on a higher plane then their audience. He even assists with the the complexities of Russian names and reminds you to remember events and people who come later in his story.Rostov should be remembered as one of the great characters in literature. And, A Man in Moscov a story to be read aloud by the fire to friends and children, since it has many things to teach about ""civility,"" ""honor,"" and greatness of human character.Bravo Amor! I stand in awe of your ccomplishment.George H. Rothacker",5
