"","book_title","review_title","review_user","book_id","review_id","timestamp","review_text","review_score"
"1","Can't Make This Stuff Up!: Finding the Upside to Life's Downs","Slap your knee good!","Sara E. Socks","1400208017","R29Y9THQXE1B87","1555081309","I couldn't put it down! We all know she's hilarious and could easily be your BFF. I knew she loves Jesus and this makes it clear how unafraid she is to share her faith. The most refreshing thing about the book? Her message to rest easy in who you are in Christ - a popular speaker, a volunteer, a mother, a neighbor, a friend. We're all doing His work right where we are. Even if you aren't a Jesus person, you can't help but laugh at all her calamity, relate to her losses and appreciate her resilience and wonder where you might find some of that. You can't help but slap your knee at this book. Got get you one!",5
"2","Lies My Doctor Told Me Second Edition: Medical…","Very Informative","Cal Banyan","162860378X","R1CXG9G5YZY2XI","1555081326","I watch his videos as well on youtube.  I like is uncomplicated logical approach to medicine.  The book is easy to read.  If there is a section that covers an issue that you are not particularly interested in you can skip it without losing out on the benefit of reading the book.",5
"3","Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","This book brings the fire!!","Amazon Customer","1400209609","R2PBSF37CQZDYI","1555081364","Hollis wrote this book to bring fire and that's exactly what it does! Love her or not, shes been through the struggle and come out stronger!",5
"4","Can't Make This Stuff Up!: Finding the Upside to Life's Downs","Straight to my heart","Anita","1400208017","R2IVWK82L5PMA4","1555081448","I am an avid reader. I read to feel. I want to be involved and interested in any book I read. This book tickled me from the onset because it is like having a conversation with my daughter. This book made me laugh,made me cry and touched my heart. Every belief I have in God was brought front and center. This book will touch you in ways you would never imagine. Well done,Susannah B. Lewis.",5
"5","The Overstory: A Novel","The overstory","Leda D. Schubert","039335668X","R2L60QQFF7Y23C","1555081482","A very interesting read, though fiction, the family stories could resonate with any one who might enjoy hanging around the Forrest.",5
"7","The Savior (The Black Dagger Brotherhood series)","Another amazing Black Dagger Brotherhood book!","Lori McCarthy","1501194941","R2VI0T8XLXLDPF","1555081578","Another amazing Black Dagger Brotherhood book! I love this series, and Murhder's story did not disappoint. It was great seeing all of the brothers again, and I'm so glad things turned out the way they did for John Matthew. And, of course, we had a visit from Lassiter. Love him! This story had me laughing, crying, and on the edge of my seat in spots. Can't wait for the next one!",5
"8","Less (Winner of the Pulitzer Prize): A Novel","More or less","R. Zocher","0316316121","R1TSI6DEW5ZW5W","1555081701","More or Less a great fun read about escaping ones issues and problems.",5
"10","Belonging: A German Reckons with History and Home","Book will not reduce to landscape orientation on iPad.","Kat","1476796629","R1RFNYTQ948S6Q","1555081862","Would like to read on my landscape mode iPad. But only get half a page at a time. Too bad it will not reduce to fit in landscape mode.",5
"12","Eat to Beat Disease: The New Science of How Your Body Can Heal Itself","Not impressed","V. Hutson","1538714620","R34H941PZVHXE6","1555081993","Would have liked this book if there were recommendations for different conditions.Being more specific would have made it more enjoyable.
You can google what to eat and lots of people are going to tell you to eat more fruit and veggies and less red meat.",5
"13","A Gentleman in Moscow: A Novel","A wonderfully told tale of a Russian Count placed under house ...","Judy L.","0143110438","RLMOYXT5ZBH3R","1555082057","A wonderfully told tale of a Russian Count placed under house arrest in the Metopol Hotel in Moscow. Beautifully written, we encounter numerous friends that become the Count's family as the years continue as well as the changing political landscape of Russia. Amor Towles does not disappoint with his steady pace and intriguing characters.",5
"14","I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer","Disorganized, Disjointed, and Disappointing","Steven Hays","62319795","R11UIQFSMRV1TK","1555082187","My daughter gave me a copy of this book last week, saying that she'd really enjoyed reading it. As a voracious reader of both fiction and non-fiction crime novels, I was really looking forward to it.  All of the sterling reviews and ""NY Times Bestseller"" designation suggested that it would be gripping.  NOT!  In effect, the book essentially describes the many rapes and murders committed by an anonymous psychopath, bouncing back and forth between and among many venues and many time periods.  For reasons that escape me, the authors who assembled the researcher's notes and manuscripts never provide a sufficient context for their work.  Unless the reader already knows the entire backstory, the book can be confusing and, frankly, boring.  Unless one enjoys reading account after account how the culprit entered homes and committed atrocities, the narrative sometimes feels like you're reliving Groundhog Day.  Personal insights by the pursuer are occasionally insightful, and the methodology of criminal pursuit (as it has evolved with technology), might make the book an interesting work for criminal justice classes on the history of criminology.  I found it to be neither enlightening nor interesting.",1
"18","Someone Knows","What a read!","J.K","0525539646","R1OSZOS9D6Y5A6","1555082298","Teens + bad judgement= tragic event. Allie is going through a lot in her young life, her sister dying of CF and a mother who had check out in life as she grieves for her daughter, she's trying to hang in there but with no friends as a support system her life has been very dark. But one day by chance she stumble upon a situation that would change her life forever. Pacts, underage drinking, peer pressure, bad choices and secrets changed the lives of many that fateful night. Allie coming home for a funeral opens up everything that happened twenty years ago and how it has affected all aspects of their lives. Great read, very fast paced with a unexpected twists, a definite must read!

volunteer ARC based review",5
"26","Pet Sematary: A Novel","Stephen King Books","Mandi","198211598X","R37F7CLRDWT43X","1555082878","Love Stephen King",5
