"","book_title","review_title","review_user","book_id","review_id","timestamp","review_text","review_score"
"1","A Gentleman in Moscow: A Novel","Russian aristocracy following the Russian Revolution","Kansabelle","0143110438","R2UFCQ9WES7VFH","1555241537","A great read. In addition to the plot, characters, hidden treasure etc. I enjoyed the philosophical question: do Russians destroy more of what they create more than other cultures? Even if you stick to the characters-great fun.",4
"2","A Gentleman in Moscow: A Novel","Knowing nothing ahead of time just walk into the story without expectations and become charmed.","D.P. McHenry","0143110438","R24B1HA9J9I99G","1555241542","Great story, well told. Characters were well developed. Ending was perfect!",4
"3","Pet Sematary: A Novel","One of King's finest, most frightening, & early works","Gordon Hoffman","198211598X","R1P137WFADSBYR","1555241649","Only the second novel written and published under King's name, and not as Richard Bachman, it is clear that King now has grown into his craft. ""The Shining"" remains one of the most frightening of King's books, and accomplishes something that the King novels of today are incapable of doing:  presenting intricately flawed characters in less than 1,000 pages.  The characters of Jack & Danny, and Jack's influence of Danny's development into an adult (which one reads about in ""Dr. Sleep"") are nothing short of brilliant.  As is always the case, the book offers the reader so much more than the movie or the TV mini-series derived from it.  A staple in the King/Bachman enthusiast's library!  Buy it today!",4
"4","Less (Winner of the Pulitzer Prize): A Novel","Not my favorite","R. Zocher","0316316121","R35533AKR5CBNS","1555242044","This book is t what I expected. Story is a little boring but good or pas si g time in the car",4
"5","Supermarket","AMAZING, BOBBY","D. Mahoney","1982127139","R1D6LXSDR0CRMN","1555242169","As someone who hates reading and never really got into any books in school, this book is a masterpiece. Don't think, just buy it asap. You won't regret it.",4
"7","The Woman in the Window: A Novel","A really fun read","Cynthia A. Brown","62678426","R9SS7KKEMALUA","1555242471","This was one of those books you definitely don't want to start reading at bedtime because you will be up half the night. It's well written and well plotted, a really fun read.",4
"8","A Gentleman in Moscow: A Novel","So truly enjoyable!","Joan's opinion","0143110438","R36AY8YY0XVQG7","1555242497","What a treat this book has been for me!  I'm not yet finished and I'm actually afraid to finish it because I've so enjoyed it so, it's going to be a loss for me!  A great tale that's engaging and fun.  It's been a long time since I've read something like this and it's been incredibly refreshing to be able to enjoy something that's light and beautiful!",4
"9","The Woman in the Window: A Novel","Well written and awesome twists","Cairenn Broderick","62678426","R2Z0EBZRC0OMA7","1555242510","Great book!  I couldn’t put the book down!!",4
"10","Run Away","Not one of his best","Asmeret","1538748460","R555JBAR1GW3I","1555242577","I found the beginning to be a little slow and this is not one of his best books, but I love his books, overall, so I forgave him for this one. Hopefully this is the last one. It's difficult to drive while rolling your eyes to the back of your head.",3
"11","A Gentleman in Moscow: A Novel","Beautiful","Linda Fitzgerald","0143110438","R1UZGXNUNQ7M50","1555242617","It's not often that I decide to take a few days break until I start another book, but I enjoyed Amor Towles book so much I want to savour it for a while before I lose the magic. Beautiful tale superbly told.",4
